Year,Location,,Eventual #,Name
1997,"Canoga Park, CA",A146,22,"Rocketdyne Division, Boeing North American, Inc. / NMB, Inc. / Fadal Engineering / AVG Corporation / DWA Composite Specialties / California State University & Chatsworth High School "
1997,"Spencer, IN",A147,24,Boston Scientific Corporation & Edgewood High School        
1997,"North Brunswick, NJ",A148,25,Bristol-Meyers Squibb / Rutgers University & North Brunswick Township High School
1997,"Clarkston, MI",A149,27,"Budd Company, The & Oakland Science, Mathematics & Technology Academy (OSMTech)"
1997,"Jenks, OK",A150,31,Central & South West Services / Public Service Company of Oklahoma & Jenks High School
1997,"Huntsville, AL",A151,34,Chrysler Corporation - Huntsville Electronics & Bob Jones High School
1997,"Whitehall, MI",A152,35,Process Control Automation & Montague High School 
1997,"Warren, NJ",A153,41,Cordis Corporation / Johnson & Johnson & Watchung Hills Regional High School
1997,"Ames, IA",A154,44,Deere & Company / Iowa State University & Ames High School
1997,"Rochester, NY",A155,52,Eastman Kodak Company & Fairport High School
1997,"Somerville, NJ",A156,56,Ethicon & Bound Brook High School
1997,"Kingman, AZ",A157,60,Ford Motor Company / Mohave Generating Station & Kingman High School
1997,"Plaistow, NH",A158,62,Circuit Board Express / Scandia Plastics & Timberlane Regional High School     
1997,"Erie, PA",A159,63,GPU Energy & McDowell Senior High School
1997,"Pontiac, MI ",A160,65,General Motors Powertrain Group & Pontiac North High School
1997,"Milford, MI",A161,67,General Motors Proving Ground & Milford High School / Lakeland High School / Harbor High School
1997,"Monmouth Jct., NJ",A162,76,AT&T / Texas Instruments & South Brunswick High School
1997,"Mt. Holly, NJ",A163,87,"Janssen Pharmaceutica, Inc. & Rancocas Valley Regional High School  "
1997,"Pittsburgh, PA",A164,89,Johnson & Johnson / University of Pittsburgh & Steel Center Vocational Technical School / Tech-Link Program of Pittsburgh
1997,"Greenville, SC",A165,91,Kemet Electronics / Greenville Tech College & JL Mann High School         
1997,"Lincolnshire, IL",A166,92,"Honeywell, Inc. & Adlai E. Stevenson High School      "
1997,"Appleton, WI",A167,93,Oscar J. Boldt Construction / Lawrence University & Appleton North High School          
1997,"Hanover, NH",A168,"95,134","USACRREL / Creare, Inc. & Lebanon High School     "
1997,"Chicago, IL",A170,101,LoDan Electronics / Craftsman Custom Metal Fabricators / Motorola APD & St. Patrick High School 
1997,"Kintnersville, PA",A171,103,Lucent Technologies & Palisades High School   
1997,"Ft. Washington, PA",A172,106,McNeil Consumer Products / Philadelphia College of Textiles and Science & Strawberry Mansion / Carver High School of Engineering / Mastbaum AVTS / Bartrum High School  Ft.
1997,"Holland, MI",A173,107,Metal Flow Corporation & Holland Christian High School
1997,"Moffett Field, CA ",A174,114,NASA Ames Research Center & Los Altos High School
1997,"Houston, TX",A175,118,NASA Johnson Space Center & Clear Brook High School / Clear Creek High School / Clear Lake High School
1997,"Satellite Beach, FL",A176,119,NASA Kennedy Space Center / McDonnell Douglas Aerospace / INET / EE&G / Florida Institute of Technology & Merritt Island High School / Satellite High School  Kennedy Space Center
1997,"Hampton, VA",A177,122,NASA Langley & Phoebus High School
1997,"Troy, MI",A178,123,"New Venture Gear, Inc. & Hamtramck High School"
1997,"Columbus, OH",A179,128,Ohio State University / American Electric Power & Grandview Heights High School
1997,"Standish, ME",A180,133,Nichols Portland & Bonny Eagle High School     
1997,"Pembroke, NH",A181,"95,134",New Hampshire Technical Institute & Pembroke Academy     
1997,"Plainfield, NJ",A182,136,Rutgers University & Plainfield High School    
1997,"Winter Park, FL",A183,137,"Grago, Inc. & Lake Howell High School"
1997,"Princeton, NJ",A184,142,Princeton Plasma Physics Laboratory & Hopewell Valley Regional High School  
1997,"Scranton, PA",A185,143,Procter & Gamble Company / Tobyhanna Army Depot / Penn State / Keystone College / Northeastern Educational IU19 & Elk Lake HS / Lackawanna County Area Vocational Technical School / Lackawanna Trail HS / Tunkhannock Area HS / Troy Area HS
1997,"Norwich, NY",A186,145,Procter & Gamble Pharmaceuticals & Norwich High School  
1997,"St. Petersburg, FL ",A187,147,Raytheon E-Systems & East Lake High School / Boca Ciega High School / Dixie M. Hollins High School
1997,"Crystal Lake, IL",A188,150,"Sage Products, Inc. & McHenry East High School / McHenry West High School      "
1997,"Aptos, CA",A189,152,Silicon Systems / Cross Design & Aptos High School
1997,"Lutherville, MD",A190,160,"Systems, Technologies and Resources (STaR) & Edmondson-Westside Senior High School"
1997,"Berrien Springs, MI, US",A191,162,TRW Automotive & Harrison High School
1997,"Farmington, CT",A192,178,Otis Elevator & Farmington High School
1997,"Garland, TX ",A193,183,"Varo, Inc. & South Garland High School"
1997,"Southfield, MI",A194,187,Wisne Design / University of Detroit Mercy & University of Detroit Jesuit High School and Academy        
1997,"Moffett Field, CA ",A195,192,NASA Ames Research Center & Henry M. Gunn Senior High School
1997,"Phoenix, AZ",A196,2414,Motorola Inc. & Camelback High School    
1997,"Frazier Park, CA",A1,"82,164,207,294,330",NASA JPL & Hope Academy / Redondo Union High School / Hawthorne High School / Mira Costa High School
1997,"Avon, CT",A197,"1124,508",Lego Systems & Talcott Mountain Academy / Avon High School / East Granby High School / Granby Memorial High School / Schaghticoke Middle School / John Winthrop Junior High School / Stafford Middle School / Terryville High School
1997,"Boynton Beach, FL",A198,,"Motorola, Inc. & Santaluces Community High School"
1997,"Miami, FL",A199,59,University of Miami & MAST Academy
1997,"Fort Wayne, IN",A200,,"PHD, Inc. & Wayne High School"
1997,"Auburn Hills, MI",A201,,ITT Automotive & Troy High School
1997,"Lake Orion, MI",A202,302,Venture Industries / Exide Battery Company & Lake Orion High School      
1997,"Manchester, NH",A203,99,Light Machines Corporation & Memorial High School
1997,"Hackensack, NJ",A204,,Becton Dickinson and Company / New Jersey Institute of Technology & Academy for the Advancement of Science and Technology
1997,"Flemington, NJ",A205,,GPU Energy & Hunterdon Central High School 
1997,"Paterson, NJ",A206,113,Lockheed Martin / Stevens Institute of Technology & Eastside High School
1997,"Elko, NV",A207,455,Barrick Goldstrike / Independence Mining / Newmont Gold & Elko High School
1997,"Old Westbury, NY",A208,,New York Institute of Technology & Jericho High School / Manhasset High School 
1997,"Toledo, OH",A209,,Doehler-Jarvis / Edison Industrial Systems Center & Libbey Skill Center         
1997,"Pittsburgh, PA ",A210,1185,NASA Headquarters / Duquesne Light Company / Carnegie Mellon University & Schenley High School
1997,"Lubbock, TX",A211,1817,Texas Tech University & Lubbock High School
1997,"Palm Beach Gardens, FL",A212,,Pratt & Whitney & The Benjamin School
