District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,,,,,,
MI,MI,"Auburn Hills, MI ",27,A149,2017,1997,"42.73512,-83.419294",1,OSMTech Academy ,BorgWarner/Mclaren Health Care/FCA Foundation/State Of Michigan /Smith's Disposal/Genisys Credit Union/Clarkston Dermatology/DENSO/TRW/BAE/Applied Manufacturing Technologies/3-Dimensional Services/ARC Investments/Recticel North America Inc./Clarkston Rotary/Chase Plastics /De-sta-co/DAWNCo/Financial Benifits Group/DMT Homes /Faurecia/Superior Buick GMC & Clarkston High School,,,,,,,
0,NY,"Sag Harbor, NY ",28,A123,2017,1996,"40.9942770,-72.2885010",1,Pierson High School ,Ancora Yacht Service/Ship Ashore Marina & Pierson Middle/High School,,,,,,,
,TX,"El Paso, TX ",29,1162,2000,1998,"31.896652,-106.58515",1,Canutillo High School ,NASA Johnson Space Center & Canutillo High School ,,,,,,,
,NJ,"Lincroft, NJ ",30,,2004,1998,"40.332828,-74.134068",1,High Technology High School ,Bristol-Myers Squibb & High Technology High School,,,,,,,
0,OK,"Jenks, OK ",31,A150,2017,1997,"36.024619,-95.96829",1,Jenks High School ,Williams/OSDE/AEP/Boeing/National Defense Education Program/Best Buy/Tulsa Stem Alliance&Jenks Hs,,,,,,,
,OH,"Youngstown, OH ",32,276,2000,1998,"41.092426,-80.694567",1,Chaney High School ,Youngstown City Schools & Chaney High School ,,,,,,,
MI,MI,"Auburn Hills, MI ",33,A94,2017,1996,"42.673281,-83.258247",1,Avondale High School & Notre Dame Preparatory ,Fiat Chrysler Automobiles/The FCA Foundation/Innovation First International/TI Automotive/JDM Consulting/Elite Fence Products/Hubbard Spring/Lochbridge/BAE Systems/Aicas&Notre Dame Preparatory,,,,,,,
0,AL,"Athens, AL ",34,A151,2017,1997,"34.719837,-86.741691",1,Bob Jones High School ,Limestone County Board of Education/Limestone County Legislative Delegation/Society of Women Engineers & Limestone County Gifted Program & Limestone Co Area Voc Tech,,,,,,,
,MI,"Whitehall, MI ",35,A152,2004,1997,"43.386462,-86.318529",1,Montague High School ,Alcoa - Howmet Castings & Whitehall High School & Montague High School,,,,,,,
,NH,"Hollis, NH ",36,A62,1999,1996,"43.034448,-71.459096",1,Derryfield School,"Codem Systems, Inc. & Derryfield School",,,,,,,
,FL,"Miami, FL ",37,A76,2001,1995,"25.739015,-80.166327",1,MAST Academy ,Cordis/University of Miami & MAST Academy ,,,,,,,
,CT,"Southbury, CT ",38,2836,2006,1998,"41.55833,-73.189765",1,Nonnewaug High School ,Nonnewaug High School,,,,,,,
0,AZ,"Gilbert, AZ ",39,64,2010,2006,"33.364487,-111.6981",1,Highland High School,Boeing/SIMREX Corporation & Highland High School,,,,,,,
NE,NH,"Manchester, NH ",40,,2011,1998,"42.995765,-71.437976",1,Trinity High School,intelitek & Trinity High School,Left FRC in 2012 to form 10 BEST teams instead,,,,,,
MAR,NJ,"Warren, NJ ",41,A153,2017,1997,"40.652139,-74.478067",1,Watchung Hills Regional High School ,Watchung Hills Reg H,,,,,,,
NE,NH,"Hudson, NH ",42,A68,2008,1995,"42.793747,-71.437751",1,Alvirne High School ,Daniel Webster College/HydroCam Corporation & Alvirne H.S.,,,,,,,
,MI,"Mason, MI ",43,A69,1998,1995,"42.570894,-84.435318",1,Mason HS,Dart Container Corporation & Mason HS,,,,,,,
,IA,"Ames, IA ",44,"A154, 3928",1999,1997,"42.039807,-93.633034",1,Ames High School,Deere & Company / Iowa State University & Ames High School,,,,,,,
IN,IN,"Kokomo, IN ",45,A8,2017,1992,"40.469001,-86.14817",1,Kokomo High School ,"Delphi/AndyMark, Inc./Duke Energy/Foresite/Kokomo Education Foundation/Royal United Mortgage/1Up! Software/HMH Contractors, Inc./Howard County EMA/Indiana Wesleyan University/Kati L. Taylor/Kokomo Area Career Center Collision Repair & Construction Class/Kokomo Area Lions Club/Midwestern Engineers, Inc./Northwest Radiology Network/ProPrints & Kokomo High School",,,,,,,
,MI,"Detroit, MI ",46,"2431, 3235",1998,1998,"42.358765,-83.103381",1,Northwestern HS,Delphi Energy & Engine Management Systems & Northwestern HS,,,,,,,
MI,MI,"Troy, MI ",47,"51, A130",2009,1996,"42.671759,-83.268067",1,Pontiac Central High School ,Delphi Corporation/The Chrysler Foundation & Pontiac Central High School,,,,,,,
0,OH,"Warren, OH ",48,,2017,1998,"41.244115,-80.806403",1,Warren G. Harding High School ,Delphi Corporation/Nordson XALOY & Warren G Harding High School,,,,,,,
MI,MI,"Saginaw, MI ",49,,2011,1998,"43.419425,-83.876862",1,Buena Vista High School ,Dow Chemical Company/Nexteer Steering Systems/Sign Depot/ALRO Steel/KMT Robot Solutions & Buena Vista High School,,,,,,,
,TX,"Dallas, TX ",50,218,1998,1998,"32.846764,-96.807689",1,Highland Park High School,"Double-E, Inc./Automation and Robotics Research Institute, UTA & Highland Park High School",,,,,,,
MI,MI,"Troy, MI ",51,"47, 65, A130",2017,2010,"42.635005,-83.287425",1,Pontiac Central High School ,GM Powertrain/Delphi/Chrysler Foundation/The Ford Foundation/BAE Systems/Chief Financial Credit Union/Genisys Credit Union/AWG Systems/Methode & Pontiac High School,Pontiac Central (47) closed & merged with Pontiac Northern (65) renamed Pontiac HS --2010 season,,,,,,
,NY,"Fairport, NY ",52,"A155,277,578",1998,1997,"43.082569,-77.415416",1,,Eastman Kodak Company & Fairport High School,,,,,,,
0,MD,"Greenbelt, MD ",53,,2016,1998,"38.991343,-76.876502",1,,Army Research Laboratory/Maryland Space Business Roundtable & Eleanor Roosevelt High ,,,,,,,
,NJ,"Hoboken, NJ ",54,,1999,1998,"40.748116,-74.032495",1,,"Engineered Soulutions, P.C./Lockheed Martin Electronics & Stevens Institute of Technology & Hoboken HS",,,,,,,
,TX,"Garland, TX ",55,A85,2000,1995,"32.897399,-96.616178",1,,Environmental Testing Laboratory/Pettinger Foundation & Austin Academy for Excellence ,,,,,,,
MAR,NJ,"Somerville, NJ ",56,A156,2017,1997,"40.571195,-74.596047",1,,Ethicon/Picatinny Arsenal&Bound Brook High,,,,,,,
0,TX,"Houston, TX ",57,,2016,1998,"29.821415,-95.398439",1,,Hydraquip Custom Systems Inc./Andy's Hardware/Arc Specialties/CenterPoint Energy Give/Chevron/Country Pure Foods/Employee Owned Holdings Inc./ExxonMobil/Hydraquip Distribution Inc./GE Sensing/Walter P. Moore & Washington B T H S ,,,,,,,
NE,ME,"South Portland, ME ",58,A127,2017,1996,"43.622344,-70.270248",1,,Robotics Institute of Maine/South Portland School Department&South Portland High School,,,,,,,
0,FL,"Miami, FL ",59,"A199, 1077",2017,1997,"25.754788,-80.340315",1,,Boca Bearings/CEW Technologies /The Home Depot/State of Florida/University of Central Florida/Florida Atlantic University/Sal Aerospace Engineering (SAE)/Miami Coral Park Senior High School/Beckman Coulter/Florida Power & Light/Bullseye Powder Coating/The Bimonte Family&Miami Coral Park Senior High,,,,,,,
0,AZ,"Kingman, AZ ",60,A157,2017,1997,"35.246193,-114.009054",1,,"UNS/FCA/Timeless Cruisers/Cascades Tissue Group/KUSD #20 Kingman High School/Kingman Academy of Learning High School/Laron Incorporated/Purvis Industries/Brackett Aircraft/Potters, Inc/Praxair/Sutton Funeral Home/Mohave County Block Grant/I Corp/West Coast Netting/Kingman Regional Medical Center/True Value/Coast Aluminum /Freiday Construction/Data Max and Wecom/Harley Davidson Foundation&Kingman High School&Kingman Academy of Learning - High School&Lee Williams High School",,,,,,,
NE,MA,"Upton, MA ",61,A73,2015,1995,"42.163357,-71.614751",1,,Blackstone Valley Vocational Regional School District/EMC/QinetiQ North America/Harry's Pizza Whitinsville/PTC & BLACKSTONE VALLEY ,,,,,,,
,NH,"Candia, NH ",62,A158,2000,1997,"43.063957,-71.305414",1,,Ride-Away Corporation & Jesse Remington High School ,,,,,,,
PA-nonMAR,PA,"Erie, PA ",63,A159,2017,1997,"42.072584,-80.146878",1,,Millcreek Township School District/GE Volunteers & Mcdowell Hs,,,,,,,
,AZ,"Mesa, AZ ",64,"39,1013",2005,1998,"33.245447,-111.605591",1,,General Motors - DPG/General Motors Desert Proving Ground & Queen Creek High School,,,,,,,
MI,MI,"Pontiac, MI ",65,"51,A160",2009,1997,"42.635005,-83.287425",1,,GM Powertrain & Pontiac Northern High School,,,,,,,
MI,MI,"Ypsilanti, MI ",66,470,2017,1998,"42.25232,-83.57043",1,,General Motors Corp/Michigan Department of Education/ZF&Ypsilanti STEMM Middle College,,,,,,,
MI,MI,"Milford, MI ",67,A161,2017,1997,"42.61694,-83.61929",1,,General Motors Milford Proving Ground & Huron Valley Schools,,,,,,,
MI,MI,"Pontiac, MI ",68,"A120, 1010",2017,1998,"42.837375,-83.440275",1,,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Cross the Road Electronics/Michigan Renaissance Festival/CEC Controls & Brandon High School & Holly High School,,,,,,,
NE,MA,"Boston, MA ",69,A117,2017,1996,"42.252858, -71.000739",1,,General Dynamics Bluefin Robotics&Quincy Public Schools,,,,,,,
MI,MI,"Flint, MI ",70,494,2017,1998,"43.079185,-83.716467",1,,General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Mid Michigan Robotics Alliance/Polyflex Products/Graff Chevrolet/Todd Wenzel Buick&Goodrich High School,,,,,,,
IN,IN,"Hammond, IN ",71,A101,2017,1996,"41.622054,-87.504357",1,,School City of Hammond/Caterpillar/City of Hammond/Bemcor International & Area Career Center,,,,,,,
,NC,"Charlotte, NC ",72,A90,1998,1995,"35.235664,-80.903185",1,,Harding University HS/ Precision Dynamics,,,,,,,
0,NY,"Rochester, NY",73,"A33,3838",2016,1993,"43.177926,-77.672384",1,,"ME Engineering/RIT FIRST Club/Ron Zarrella & Rochester Science, Technology, Engineering and Mat ",School pulled the plug: ,,,,,,
MI,MI,"Holland, MI ",74,A78,2017,1995,"42.787482,-86.113418",1,,Haworth Inc./Profile Films/SpinDance/Russells Technical Products/EBW Electronics/A.D. Bos Vending Services/Magna/Trans-Matic/River City Metals/S2 Yachts/Hann Persinger P.C.&Holland High School&Black River Public School,,,,,,,
MAR,NJ,"Skillman, NJ ",75,"A103, 1403, 2016",2017,1996,"40.496646,-74.654127",1,,J&J Consumer & Personal Products Worldwide/Summit Associates/Richmond Foundation/Draftek Design/Kuchavik Consulting & Design/Picatinny Arsenal/Rutgers Dept of Physics and Technology/Active Disposal&Hillsborough High,,,,,,,
,NJ,"Monmouth Jct., NJ",76,A162,1998,1997,"40.372705,-74.564402",1,,Hitachi America/ Tech Abrasive Supply Company/ GR Technical Services & South Brunswick HS,,,,,,,
,TX,"Conroe, TX",77,275,1998,1998,"30.170123,-95.443839",1,,Hitachi Construction Machinery America / NASA / Sani-Weld & Oak Ridge HS,,,,,,,
NE,RI,"Newport County, RI",78,121,2017,2010,"41.71217,-71.48912",0,,Naval Undersea Warfare Center/DoD STEM/KVH Industries/Raytheon/Rite-Solutions/CVS Health Foundation&Aquidneck Island Robotics 4-H Club,4H,,,,,,
0,FL,"Clearwater, FL ",79,,2017,1998,"28.127878,-82.701923",1,,"Honeywell Aerospace/Career Technical Education Foundation, Inc./GE & East Lake High School",,,,,,,
,AZ,"Phoenix, AZ ",80,A47,2005,1995,"33.566201,-112.125556",1,,DeVry University & Cortez High School,,,,,,,
0,IL,"Freeport, IL ",81,A48,2017,1995,"42.289426,-89.628888",1,,Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School,,,,,,,
,CA,"Hermosa Beach, CA ",82,"A1,330",1998,1997,"33.785167,-117.976905",1,,"Hughes Space and Communications Company/ J & F Machine, Inc.& Hope Chapel Academy",,,,,,,
,WA,"Mukilteo, WA US",83,A43,1998,1995,"47.900664,-122.30356",1,,Hughes Aircraft - Marine Systems & Kamiak HS,,,,,,,
MAR,PA,"Towanda, PA ",84,143,2010,1998,"41.77295,-76.448562",1,,DuPont/NE PA Tech Prep Consortium & Athens Area School District & Northeast Bradford School District & Towanda Area School District & Troy Area School District,,,,,,,
MI,MI,"Zeeland, MI ",85,A137,2017,1996,"42.830802,-86.026822",1,,"Herman Miller Foundation/System Components, Inc/Trans-matic/NUVAR Incorporated/ITW Drawform/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts/Disher/JR Automation&Zeeland West High School&Zeeland East High School",,,,,,,
0,FL,"Jacksonville, FL ",86,A105,2017,1996,"30.351696, -81.672837",1,,"JEA/VISTAKON Johnson and Johnson Vision Care Products/Black and Veatch Engineering/Johnson Controls, Inc. & Stanton College Preparatory",,,,,,,
MAR,NJ,"Mt. Holly, NJ ",87,"A163, 816",2017,1997,"40.003632,-74.780804",1,,Lockheed Martin/COMCAST-NBC Universal/DoDSTEM/CPS Metals/Rita's Italian Ice/AndyMark/Chick-Fil-A&Rancocas Valley Reg H,,,,,,,
NE,MA,"Bridgewater, MA ",88,A118,2017,1996,"41.988804,-70.987136",1,,Harpak-ULMA / Highland Power Corp & Bridgewater-Raynham Reg,,,,,,,
,PA,"Clairton, PA ",89,A164,2001,1997,"40.300697,-79.922237",1,,Johnson & Johnson/University of Pittsburgh & Steel Center Vocational Technical School & TECH-LINK Program of Pittsburgh ,,,,,,,
,NH,"Salem, NH",90,A49,1999,1994,"42.779642,-71.210192",1,,Johnson & Johnston Associates & Salem HS,,,,,,,
,SC,"Greenville, SC",91,"A165,281,507",1998,1997,"34.807024,-82.337251",1,,Kemet Electronics Corporation/ Advanced Automation/ Greenville Technical College & JL Mann HS & Carolina Academy & Riverside HS,,,,,,,
,IL,"Lincolnshire, IL ",92,A166,2005,1997,"42.19657,-87.945874",1,Adlai Stevenson High School ,MPC Products & Adlai E. Stevenson High School,,,,,,,
0,WI,"Neenah, WI ",93,A167,2017,1997,"44.246194,-88.373334",1,,Plexus Corp./Appleton Area School District & Tesla Engineering Charter School & East High & North High & West High,,,,,,,
MI,MI,"Southfield, MI ",94,,2017,1998,"42.468228,-83.263973",1,Southfield High School ,Lear Corporation/Denso/FORD MOTOR COMPANY&Southfield High School,,,,,,,
NE,NH,"Lebanon, NH ",95,A168,2017,1997,"43.652781,-72.252196",1,,Hartford Area Career and Technology Center/Byrne Foundation/Hypertherm/SolidWorks&Hartford Area Career and Technology Center,,,,,,,
,CT,"Enfield, CT ",96,,2006,1998,"42.119635,-72.549729",1,,PUTNAM VOCATIONAL,,,,,,,
NE,MA,"Cambridge, MA ",97,A23,2017,1992,"42.374091,-71.11185",1,,"Akamai Technologies/Draper Laboratories/Vecna Technologies, Inc & Cambridge Rindge and Latin",,,,,,,
,TX,"Dallas, TX ",98,A60,2001,1995,"32.890486,-96.801201",1,,"Lennox International, Inc. & St. Mark's School of Texas ",,,,,,,
,NH,"Manchester, NH ",99,"A29,238",1998,1992,"42.966415,-71.433729",1,,Light Machines Corporation/ Intelitek & Memorial HS,,,,,,,
0,CA,"Woodside, CA ",100,A84,2017,1995,"37.444489,-122.231473",1,,Woodside High School Foundation/Sequoia Union High School District/Tate Family/Lawrence Searcy/Solutions2Projects/Intuitive Surgical/Nvidia/Woodcraft/Blach Construction Company/Jo Mar Labs/SolidWorks/Alan Steel and Supply Company&Woodside High,,,,,,,
0,IL,"Arlington Heights, IL ",101,A170,2017,1997,"41.93872,-87.774927",1,,ClusterBlue /Friends of Striker&St Patrick High School,,,,,,,
MAR,NJ,"Somerville, NJ ",102,,2017,1998,"40.578621,-74.611487",1,,"Janssen Pharmaceuticals Inc./Piccatinny Arsenal/Air Liquide/PSEG/Central Jersey Trailer and Hitch LLC/Alloy Welding Company, Inc./Gerber Metal Supply Company/Dr. Victor J. Bauer & Somerville High",,,,,,,
MAR,PA,"Kintnersville, PA ",103,A171,2017,1997,"40.522744,-75.19895",1,,"Tohickon Glass & Tile/The Triagiano Foundation/Global Biocides Solutions LLC/Hubbell/Pleasant Valley Auto Care/Amplifier Research/Lutron Electronics, Inc/PHTool/Fred Beans Automotive/Stokes Manufacturing/Harro Hoflinger/Client Link&Palisades Hs",,,,,,,
MAR,PA,"West Chester, PA ",104,,2009,1998,"39.972286,-75.595572",1,,MEI & WCASD High Schools,,,,,,,
,MA,"Charlton, MA ",105,A136,2002,1996,"42.133829,-71.957059",1,,Massachusetts Electric/New England Electric & Bay Path Regional Vocational Technical High School ,,,,,,,
,PA,"Philadelphia, PA ",106,A172,2001,1997,"39.983465,-75.161094",1,,McNeil Consumer Products & George Washington Carver High School for Engineering & Science/William Penn High School ,,,,,,,
MI,MI,"Holland, MI ",107,A173,2017,1997,"42.76241,-86.126469",1,,Metal Flow/Tommy's Express Car Wash/JR Automation/World Class Prototypes/Koops/Twisthink&Holland Christian High School,,,,,,,
0,FL,"Plantation, FL ",108,A75,2017,1995,"26.140349,-80.176444",1,,Motorola Solutions Foundation/Florida Power & Light/Broward County Public Schools/Apex Machine Company&Dillard High School,,,,,,,
,IL,"Libertyville, IL ",109,A138,2002,1996,"42.283415,-87.965876",1,,Arial Systems Corporation & Libertyville High School ,,,,,,,
,TX,"North Richland Hills, TX ",110,A91,2000,1995,"32.843608,-97.232487",1,,"NASA Johnson Space Center/Motorola, Inc./Richland High School & Birdville High School ",,,,,,,
0,IL,"Arlington Heights, IL ",111,A27,2017,1992,"42.065543,-88.015959",1,,"Motorola Solutions Foundation/Bosch/Methode Electronics/Bosch Rexroth/Township High School District 214/Numerical Precision, Inc./Nu-Way Industries/Lendrix/Magnetic Inspection Laboratory/Just Manufacturing/Automatic Precision & Elk Grove High School & Buffalo Grove High School & Rolling Meadows High School & Wheeling High School & Prospect High School & John Hersey High School",,,,,,,
,IL,"Arlington Heights, IL ",112,,2002,1998,"42.102579,-87.960982",1,,Motorola & John Hersey High School & Buffalo Grove High School ,,,,,,,
,NJ,"Paterson, NJ ",113,A206,2001,1997,"40.915203,-74.159984",1,,Universal Metal Craft & Eastside High School ,,,,,,,
0,CA,"Los Altos, CA ",114,A174,2017,1997,"37.385674,-122.109572",1,,Google/Nvidia/Apple/Intuitive Surgical/Applied Welding Technology/Advanced Component Technology/Los Altos High School&Los Altos High,,,,,,,
0,CA,"Cupertino, CA ",115,,2017,1998,"37.315448,-122.056646",1,,"Fremont Union High School Foundation/Apple/Qualcomm/Intuitive Surgical/Brin-Wojcicki Foundation/Western Digital/Apprion, Inc/Lockheed Martin/EMC2/De Anza College Machine Shop/Pinnacle Manufacturing & Monta Vista High",,,,,,,
0,VA,"Herndon, VA ",116,"A119, 336",2017,1996,"38.985479,-77.376049",1,,"NASA/NASA Headquarters/The PTR Group, Inc./NexVortex/Mach5 & Herndon High",,,,,,,
PA-nonMAR,PA,"Pittsburgh, PA ",117,,2017,1998,"40.429501,-79.919389",1,,4moms/The Heinz Endowments /Google&Pittsburgh Allderdice Hs,,,,,,,
0,TX,"League City, TX ",118,A175,2017,1997,"29.522735,-95.076464",1,,NASA/NASA-JSC & Clear Creek H S,,,,,,,
,FL,"Satellite Beach, FL",119,"A176,285",1998,1997,"28.37613,-80.698764",1,,NASA Kennedy Space Center/ Delaware North/ DYNACS & USA & Merritt Island HS & Satellite HS,,,,,,,
0,OH,"Cleveland, OH ",120,A81,2017,1995,"41.492499,-81.649655",1,,NASA/NASA Glenn Research Center/Cuyahoga Community College/GrafTech Corporation/Rockwell Automation & Youth Technology Academy,,,,,,,
NE,RI,"Newport, RI ",121,"A113, 78",2017,1996,"41.517875,-71.287138",1,,NDEP/Raytheon/Town of Middletown/Blowfish/Ferreira-Fenton Fund & Middletown High School,,,,,,,
0,VA,"Hampton, VA ",122,"A177,344,2028",2016,1997,"37.06397,-76.411434",1,,NASA Langley Research Center/New Horizons Regional Education Center/Precision Sheet Metal Fabrication LLC/TE Connectivity Foundation/Fastenal/Rose Precision Machine & Butler Farm Campus ,Homeschool,,,,,,
MI,MI,"Troy, MI ",123,A178,2017,1997,"42.401519,-83.057439",1,,"General Motors Foundation/General Trucking/Ford Motor/Design Systems, Inc/Wayne Metro Community Action Agency /NuVue Foods/National Instruments/DADARA/State of Michigan&Hamtramck High School",,,,,,,
,CT,"Waterford, CT ",124,A131,2001,1996,"41.360459,-72.122729",1,,Northeast Utilities/U.S. Coast Guard Academy & New London High School ,,,,,,,
NE,MA,"Boston, MA ",125,"A13,206,246",2017,1992,"42.338009,-71.092339",1,,Northeastern University / Textron Systems / Sonos Inc. / United Technologies / National Grid / PTC / BAE Systems & Boston Latin & Brookline High & Revere High,,,,,,,
NE,MA,"Clinton, MA ",126,A9,2017,1992,"42.409738,-71.703773",1,,Nypro Inc. & Clinton Senior High,,,,,,,
,TX,"Friendswood, TX ",127,,2000,1998,"29.511559,-95.211446",1,,NASA Johnson Space Center/Oceaneering Space Systems & Friendswood High School ,,,,,,,
0,OH,"Columbus, OH ",128,A179,2017,1997,"39.984986,-83.048374",1,,"American Electric Power/Grandview Heights Marble Cliff Education Foundation/Grandview Bobcat Boosters, Inc. & Grandview Heights High School",,,,,,,
,TX,"Sherman, TX",129,A39,2001,1993,"33.641533,-96.581554",1,,Sherman HS,,,,,,,
,NH,"Hillsboro, NH ",130,A102,2000,1996,"43.117369,-71.905292",1,,"Osram Sylvania, Inc. & Hillsboro-Deering High School ",,,,,,,
NE,NH,"Manchester, NH ",131,A28,2017,1992,"42.993586,-71.454069",1,,"BAE SYSTEMS/Rockwell Automation/Solid Works/Intelitek Inc/CHAOS Families/Cronin Bisson & Zalinsky, Attorneys at Law/C.H.A.O.S Alumni/Queen City Rotary Club&Manchester Central High School& 4-H Hillsborough County, NH",,,,,,,
,FL,"Wilton Manors, FL ",132,408,2001,1998,"26.195168,-80.137594",1,,"Panzer Aluminum, Inc. & Northeast High School & Crystal Lake MS ",,,,,,,
NE,ME,"Standish, ME ",133,A180,2017,1997,"43.694645,-70.598249",1,,ITS Inc./Lockheed Martin/Robotics Institute of Maine & Bonny Eagle High School,,,,,,,
