Location,Perm team #,1997 #,Team Name,
"Milford, MI",67,47,General Motors Proving Ground & Milford High School / Lakeland High School / Harbor High School,
"Quincy, MA",69,101,NYNEX & Quincy Public Schools,
"Hammond, IN",71,14,Beatty Machine and Manufacturing & Hammond Schools,
"Charlotte, NC",72,144,"University of North Carolina, Charlotte / William States Lee College of Engineering & Harding University High School",
"Rochester, NY",73,53,Harris RF Communications / Rochester Institute of Technology & Edison Technical School,
"Holland, MI",74,54,"Haworth, Inc. & Holland High School ",
"Raritan, NJ",75,105,Ortho Diagnostic Systems & Hillsborough High School,
"Monmouth Jct., NJ",76,40,AT&T / Texas Instruments & South Brunswick High School,
"Phoenix, AZ",80,56,Honeywell Space and Aviation Control & Cortez High School,
"Freeport, IL",81,58,HoneywellÍs MICRO SWITCH Division & Freeport High School / Aquin High School,
"Frazier Park, CA",82,61,NASA JPL & Hope Academy / Redondo Union High School / Hawthorne High School / Mira Costa High School,
"Mukilteo, WA",83,3,Alliant Techsystems - Marine Systems & Kamiak High School,
"Zeeland, MI ",85,34,"Drawform, Inc. & Zeeland High School",
"Jacksonville, FL ",86,127,"Vistakon, Inc. / Sally Industries, Inc. & Stanton College Preparatory School",
"Mt. Holly, NJ",87,62,"Janssen Pharmaceutica, Inc. & Rancocas Valley Regional High School  ",
"Bridgewater, MA",88,63,"Johnson & Johnson Professional, Inc. & Bridgewater-Raynham Regional High School  ",
"Pittsburgh, PA",89,145,Johnson & Johnson / University of Pittsburgh & Steel Center Vocational Technical School / Tech-Link Program of Pittsburgh,
"Salem, NH",90,64,Johnson & Johnston Associates / RDI & Salem High School,
"Greenville, SC",91,65,Kemet Electronics / Greenville Tech College & JL Mann High School         ,
"Lincolnshire, IL",92,55,"Honeywell, Inc. & Adlai E. Stevenson High School      ",
"Appleton, WI",93,104,Oscar J. Boldt Construction / Lawrence University & Appleton North High School          ,
"Hanover, NH",95,148,"USACRREL / Creare, Inc. & Lebanon High School     ",
"Cambridge, MA",97,76,Massachusetts Institute of Technology & Cambridge Rindge and Latin School,
"Dallas, TX",98,68,"Lennox International, Inc. / University of Texas at Dallas & St. Mark's School of Texas / Hockaday School",
"Manchester, NH",99,69,Light Machines Corporation & Memorial High School,
"Moffett Field, CA ",100,86,NASA Ames Research Center & Woodside High School,
"Chicago, IL",101,71,LoDan Electronics / Craftsman Custom Metal Fabricators / Motorola APD & St. Patrick High School ,
"Kintnersville, PA",103,72,Lucent Technologies & Palisades High School   ,
"Charlton, MA",105,75,Massachusetts Electric / New England Electric & Bay Path Regional Vocational Technical High School,
"Ft. Washington, PA",106,77,McNeil Consumer Products / Philadelphia College of Textiles and Science & Strawberry Mansion / Carver High School of Engineering / Mastbaum AVTS / Bartrum High School  Ft.,
"Holland, MI",107,78,Metal Flow Corporation & Holland Christian High School,
"Plantation, FL",108,79,"Motorola, Inc. / Florida Atlantic University & Dillard High School / Crystal Lake Middle School / William Dandy Middle School",
"Fort Worth, TX",110,80,"Motorola, Inc. & Richland High School",
"Schaumburg, IL",111,81,"Motorola, Inc. & Rolling Meadows High School / Wheeling High School",
"Paterson, NJ",113,70,Lockheed Martin / Stevens Institute of Technology & Eastside High School,
"Moffett Field, CA ",114,84,NASA Ames Research Center & Los Altos High School,
"Reston, VA",116,88,"NASA Headquarters / Kiss Institute for Practical Robotics / MRJ, Inc. & South Lakes High School",
"Houston, TX",118,89,NASA Johnson Space Center & Clear Brook High School / Clear Creek High School / Clear Lake High School,
"Satellite Beach, FL",119,90,NASA Kennedy Space Center / McDonnell Douglas Aerospace / INET / EE&G / Florida Institute of Technology & Merritt Island High School / Satellite High School  Kennedy Space Center,
"Cleveland, OH",120,92,"NASA Lewis Research Center / TRW, Inc. / Battelle Memorial Institute / Centerior Energy & East Technical High School",
"Newport, RI",121,94,Naval Undersea Warfare Center & Middletown High School,
"Hampton, VA",122,91,NASA Langley & Phoebus High School,
"Troy, MI",123,96,"New Venture Gear, Inc. & Hamtramck High School",
"Waterford, CT",124,100,Northeast Utilities / U.S. Coast Guard Academy & Montville High School / The Williams School,
"Clinton, MA",126,103,"NYPRO, Inc. & Clinton High School",
"Columbus, OH",128,7,Ohio State University / American Electric Power & Grandview Heights High School,
"Sherman, TX ",129,106,Oscar Mayer Foods & Sherman High School,
"Hillsboro, NH",130,107,"Osram Sylvania, Inc. & Hillsboro-Deering High School     ",
"Manchester, NH",131,108,Osram Sylvania / Fleet Bank & Manchester Central High School,
"Standish, ME",133,99,Nichols Portland & Bonny Eagle High School     ,
"Pembroke, NH",134,95,New Hampshire Technical Institute & Pembroke Academy     ,
"Plainfield, NJ",136,124,Rutgers University & Plainfield High School    ,
"Winter Park, FL",137,50,"Grago, Inc. & Lake Howell High School",
"Amherst, NH",138,110,KeyBank / Parker Hannifin Pneutronics & Souhegan High School,
"Tyngsboro, MA ",140,114,"PRI Automation, Inc. / New England Prototype, Inc. & Tyngsborough High School",
"Holland, MI",141,115,Prince & West Ottawa High School,
"Princeton, NJ",142,116,Princeton Plasma Physics Laboratory & Hopewell Valley Regional High School  ,
"Scranton, PA",143,118,Procter & Gamble Company / Tobyhanna Army Depot / Penn State / Keystone College / Northeastern Educational IU19 & Elk Lake HS / Lackawanna County Area Vocational Technical School / Lackawanna Trail HS / Tunkhannock Area HS / Troy Area HS,
"Cincinnati, OH",144,119,Procter & Gamble Company & Walnut Hills High School,
"Norwich, NY",145,120,Procter & Gamble Pharmaceuticals & Norwich High School  ,
"Manchester, NH",146,121,Public Service of New Hampshire & Manchester West High School,
"St. Petersburg, FL ",147,122,Raytheon E-Systems & East Lake High School / Boca Ciega High School / Dixie M. Hollins High School,
"Greenville, TX",148,35,"Raytheon E-Systems, Inc. & Greenville High School",
"Crystal Lake, IL",150,126,"Sage Products, Inc. & McHenry East High School / McHenry West High School      ",
"Nashua, NH",151,128,"Sanders, A Lockheed Martin Company & Nashua High School",
"Aptos, CA",152,131,Silicon Systems / Cross Design & Aptos High School,
"Bridgewater, NJ",153,125,Ortho Pharmaceutical / Rutgers University & Somerset County Vocational Technical Schools  ,
"Berlin, CT",155,133,Stanley Works & C.M. McGee Middle School   ,
"Marlboro, MA",157,134,Stratus Computer / NAPA Auto Parts / CX Computer Exchange & Assabet Valley Regional Vocational High School,
"Milford, OH",158,135,"Structural Dynamics Research Corporation & Great Oaks Institute of Technology and Career Development, Live Oaks Campus",
"Lutherville, MD",160,136,"Systems, Technologies and Resources (STaR) & Edmondson-Westside Senior High School",
"Troy, MI ",161,138,Textron Automotive Company & Cass Technical High School / Oakland Technical School,
"Berrien Springs, MI, US",162,139,TRW Automotive & Harrison High School,
"Merrimack, NH",166,141,Unitrode Corporation / Ferrofluidics / Connolly Crowns Laboratory & Merrimack High School,
"Platteville, WI",171,146,University of Wisconsin-Platteville & Platteville High School,
"Portland, ME",172,147,UNUM / Lanco Assembly Systems & Kennebunk High School / Gorham High School / Scarborough High School / Old Orchard Beach High School ,
"East Hartford, CT",173,140,United Technologies Research Center & East Hartford High School / Rockville High School,
"Windsor Locks, CT",175,51,Hamilton Standard Space Systems International / Techni Products & Enrico Fermi High School,
"Windsor Locks, CT",176,52,Hamilton Standard & Windsor Locks High School,
"South Windsor, CT",177,59,International Fuel Cells & South Windsor High School,
"Farmington, CT",178,109,Otis Elevator & Farmington High School,
"Garland, TX ",183,149,"Varo, Inc. & South Garland High School",
"Southfield, MI",187,152,Wisne Design / University of Detroit Mercy & University of Detroit Jesuit High School and Academy        ,
"Worcester, MA",190,153,Worcester Polytechnic Institute & Massachusetts Academy of Math & Science,
"Webster, NY",191,154,Xerox Corporation & Joseph C. Wilson Magnet High School,
"Moffett Field, CA ",192,83,NASA Ames Research Center & Henry M. Gunn Senior High School,
"Rochester, NY",200,151,Optimation Technology & West Irondequoit High School     ,
"Lake Orion, MI",302,150,Venture Industries / Exide Battery Company & Lake Orion High School      ,
"Alton, NH",319,6,Alton Community & Alton High School,
"Elko, NV",455,98,Barrick Goldstrike / Independence Mining / Newmont Gold & Elko High School,
"Avon, CT",508,67,Lego Systems & Talcott Mountain Academy / Avon High School / East Granby High School / Granby Memorial High School / Schaghticoke Middle School / John Winthrop Junior High School / Stafford Middle School / Terryville High School,
"Pittsburgh, PA ",1185,87,NASA Headquarters / Duquesne Light Company / Carnegie Mellon University & Schenley High School,
"Lubbock, TX",1817,137,Texas Tech University & Lubbock High School,
"Phoenix, AZ",2414,155,Motorola Inc. & Camelback High School    ,
"Minneapolis, MN",2479,57,"Honeywell, Inc. & North Community High School",
"Auburn Hills, MI",A201,60,ITT Automotive & Troy High School,
"Boynton Beach, FL",A198,82,"Motorola, Inc. & Santaluces Community High School",
"Flemington, NJ",A205,48,GPU Energy & Hunterdon Central High School ,
"Fort Wayne, IN",A200,111,"PHD, Inc. & Wayne High School",
"Fort Worth, TX ",A98,16,Bell Helicopter / Automation & Robotics Research Institute (ARRI) / Rainwater Foundation & Applied Learning Academy,
"Hackensack, NJ",A204,15,Becton Dickinson and Company / New Jersey Institute of Technology & Academy for the Advancement of Science and Technology,
"Laconia, NH",A65,2,Aavid Thermal Technologies & Gilford High School,
"Manchester, NH",A158,45,Freudenberg - NOK & Jesse Remington High School      ,
"Moscow, ID",A109,142,University of Idaho & Moscow High School,
"Mosinee, WI ",A53,73,Marathon Electric / University of Wisconsin - Marathon County & Wausau West High School / Wausau East High School / D.C. Everest Senior High School,
"Old Westbury, NY",A208,97,New York Institute of Technology & Jericho High School / Manhasset High School ,
"Palm Beach Gardens, FL",A212,113,Pratt & Whitney & The Benjamin School,
"Rochester Hills, MI",A120,66,Lear Corporation & Brandon High School,
"Simsbury, CT ",A126,38,Ensign-Bickford Company & Simsbury High School / Bloomfield High School,
"St. Louis, MO",A128,37,Emerson Motor Company & Cardinal Ritter College Preparatory High School / Normandy Senior High School,
"St. Louis, MO",A129,74,St. Louis Community & Mary Institute and Saint Louis Country Day School (MICDS)     ,
"Toledo, OH",A209,33,Doehler-Jarvis / Edison Industrial Systems Center & Libbey Skill Center         ,
"Topsfield, MA",A3,132,"SMC Pneumatics, Inc. & Ipswich High School    ",
